### TABLAS ###
Nombre tabla;Descripción tabla;Cantidad de columnas
tm MerchantChain;hMCModifyTime;Hora de última;Caracter;6;NO;modificación del registro Caracter 6 NO HHMMSS
tm MerchantChain;cMCLogicalStatus;Estado lógico de registro Caracter 1 NO 0: registro activo 1: registro eliminado;;1;;
tm MerchantChain;cMCLimitAmount;Decimal 14,2 NO cMCLimitAmountDoll ar Decimal 14,2 NO;Decimal;14,2;NO;
tm MerchantChain;hMCBatchCloseHour;Caracter 4 NO;;;;
tm MerchantChain;cMCFlagBatchClose;Caracter 1 NO Diccionario de Campos V3 .0 18;;0;;
tmMerchantProfile;cMPProfileId;Código del perfil de;;;;
tmMerchantProfile;comercio;Caracter 15 SI;;;;
tmMerchantProfile;cMpModifyUser;Caracter 7 NO;;;;
tmMerchantProfile;fMpModifyDate;Caracter 8 NO;;;;
tmMerchantProfile;hMpModifyTime;Caracter 6 NO;;;;
tmTransactionT ype;cTTTransactionId;Código de transacción Caracter 2 SI;Caracter;2;SI;
tmTransactionT ype;cTTAplicacion;Identificador de la aplicación Caracter 20 SI;Caracter;20;SI;
tmTransactionT ype;dTTTransactionName;Nombre de la transacción Caracter 20 NO;Caracter;20;NO;
tmTransactionT ype;cTTTransGroup;Tipo de Transacción Caracter 1 NO 1 - Administrativa XX - Otros;;0;;0 - Financiera
tmTransactionT ype;cTTMerchantVal;Indicador para validar;;;;
tmTransactionT ype;comercio;Caracter 1 NO 0 - Si valida;;1;NO;1 - No valida
tmTransactionT ype;cTTTerminalVal;Indicador para validar;;;;
tmTransactionT ype;Terminal;Caracter 1 NO 0 - Si valida;;1;NO;1 - No valida
tmTransactionT ype;cTTFloorLimitVal;Indicador para validar límite de piso Caracter 1 NO 0 - Si valida;Caracter;1;NO;1 - No valida
tmTransactionT ype;cTTActivityLimitVal;Indicador para validar límite de actividad Caracter 1 NO 0 - Si valida;Caracter;1;NO;1 - No valida
tmTransactionT ype;cTTMerchantBalanceVal;Indicador para validar saldo del comercio Caracter 1 NO 0 - Si valida;Caracter;1;NO;1 - No valida
tmTransactionT ype;cTTSaveLog;Indicador para grabar en Log Caracter 1 NO 0 - Si graba;Caracter;1;NO;1 - No gr aba
tmTransactionT ype;cTTTransType;Tipo de afectación de la transacción Caracter 1 NO 0 - Cargo Diccionario de Campos V3 .0 19;Caracter;1;NO;1 - Abono
tmTransactionT ype;cTTTransRoute;Tipo de ruteo de la transacción Caracter 1 NO 0 - Por adquiriente de servicio;Caracter;1;NO;1 - Por proveedor
tmTransactionT ype;cTTRequiredFieldsReq;Campos requeridos en;;;;
tmTransactionT ype;requerimiento;Caracter 50 NO;;;;
tmTransactionT ype;cTTRequiredFieldsResp;Campos requeridos en;;;;
tmTransactionT ype;respuesta;Caracter 50 NO;;;;
tmTransactionT ype;cTTConverterType;Tipo de conversor a usar Caracter 20 NO;Caracter;20;NO;
tmTransactionT ype;cTTModifyUser;Código de usuario de última modificación del registro Caracter 7 NO;Caracter;7;NO;
tmTransactionT ype;fTTModifyDate;Fecha de última modificación del;;;;
tmTransactionT ype;registro;Caracter 8 NO AAAAMMDD;;;;
tmTransactionT ype;hTTModifyTime;Hora de última modifi cación del;;;;
tmTransactionT ype;registro;Caracter 6 NO HHMMSS;;;;
tmTransactionT ype;cTTWithoutCost;Indicador para validar transacción sin costo Caracter 1 NO 0 - Si valida;Caracter;1;NO;1 - No va lida
tmTransactionT ype;cTTArchivo;Nombre del Archivo del flujo de la transacción Caracter 50 NO;Caracter;50;NO;
tmTransactionT ype;dTTDescription;Descripción de la Transacción Caracter 50 NO Diccionario de Campos V3 .0 20;Caracter;50;NO;
tmTerminal;cTrMerchantId;Código del Centro;;;;
tmTerminal;Comercial;Caracter 15 SI;;;;
tmTerminal;cTrTerminalNum;Número del Terminal, dentro del comercio. Caracter 4 SI;Caracter;4;SI;
tmTerminal;cTrStatus;Estado en que se encuentra del Terminal Caracter 1 SI 0 - Habilitado;Caracter;1;SI;1 - Inhabilitado
tmTerminal;cTrType;Tipo de Terminal Caracter 1 SI 0 - POS;;1;;1 - ATM, 2 - ThinPOS
tmTerminal;dTrTerminalSN;Número de Serie del Terminal. Caracter 15 NO Número registrado por el fabricante, que garantiza que es único;Caracter;15;NO;
tmTerminal;nTrSWVersion;Campo que indi ca la versión de software que tiene cargado el Terminal (no usado) Caracter 8 NO;Caracter;8;NO;
tmTerminal;cTrWorkingKey;Working Key generada para el Terminal. Caracter 74 NO Working Key encriptada bajo la MFK (Master File Key);Caracter;74;NO;
tmTerminal;fTrGenWKDate;Fecha de generación de;Caracter;8;NO;Working Key. Caracter 8 NO AAAAMMDD
tmTerminal;dTrAddress;Dirección donde se encuentra el terminal . Caracter 60 NO;Caracter;60;NO;
tmTerminal;dTrDescription;Descripción del Terminal Caracter 64 NO;;;;
tmTerminal;cTrSeqNumber;Número secuencial de transacción actual Caracter 4 NO;Caracter;4;NO;
tmTerminal;cTrTypeWork;Caracter 6 NO;;;;
tmTerminal;cTrModel;Modelo del Terminal Caracter 32 NO;;;;
tmTerminal;cTrConnect;Tipo de conexión Caracter 1 NO;;;;
tmTerminal;cTrMultMerchant;Indicador de multicomercio Caracter 1 NO;;;;
tmTerminal;cTrStatusLogin;Indicador si se hizo Login Caracter 1 NO;;;;
tmTerminal;cTrTraceNumber;Número del trace actual Caracter 6 NO;;;;
tmTerminal;cTrLoteNumber;Número de lote actual Caracter 6 NO;;;;
tmTerminal;cTrAplicacion;Código de aplicación;;;;
tmTerminal;asociado;Caracter 70 NO;;;;
tmTerminal;cTrHFR1;Texto 1 para encabezado Caracter 40 NO;;;;
tmTerminal;cTrHFR2;Texto 2 para encabezado Caracter 40 NO;;;;
tmTerminal;cTrHFR3;Texto 3 para encabezado Caracter 40 NO;;;;
tmTerminal;cTrTRL1;Texto 1 para título Caracter 40 NO;;;;
tmTerminal;cTrTRL2;Texto 2 para título Caracter 40 NO Diccionario de Campos V3 .0 21;;0;;
tmTerminal;cTrFTR1;Texto 1 para pie de ticket Caracter 40 NO;;;;
tmTerminal;cTrFTR2;Texto 2 para pie de ticket Caracter 40 NO;;;;
tmTerminal;cTrFTR3;Texto 3 para pie de ticket Caracter 40 NO cTrCodBa r Indicador para imprimir código de barras Caracter 1 NO;Caracter;1;NO;
tmTerminal;cTrCodVer;Código de versión Caracter 2 NO;;;;
tmTerminal;cTrCodTarj;Indicador para no imprimir toda la tarjeta en el ticket Caracter 1 NO;Caracter;1;NO;
tmTerminal;cTrDobleImp;Indicador para imprimir anexo de estado de cuenta Caracter 1 NO;Caracter;1;NO;
tmTerminal;cTrImpPago;Indicador para imprimir Pago Caracter 1 NO;;;;
tmTerminal;cTrImpCuota;Indicador para imprimir;;;;
tmTerminal;Cuota;Caracter 1 NO;;;;
tmTerminal;cTrImpDeuda;Indicador para imprimir;;;;
tmTerminal;Deuda;Caracter 1 NO;;;;
tmTerminal;cTrClave;Clave de supervisor Caracter 4 NO;;;;
tmTerminal;cTrNumMasterKey;Número de maste r key a usar Caracter 1 NO;Caracter;1;NO;
tmTerminal;nTrNroHopper;Número de hoppers Caracter 1 NO;;;;
tmTerminal;cTrCodMoneda1;Código de moneda en;;;;
tmTerminal;hopper1;Caracter 3 NO;;;;
tmTerminal;nTrNroMoneda1;Numero de monedas en;;;;
tmTerminal;hopper1;Caracter 5 NO;;;;
tmTerminal;cTrCodMoneda2;Código de moneda en;;;;
tmTerminal;hopper2;Caracter 3 NO nTrNr oMoneda2 Numero de monedas en;;;;
tmTerminal;hopper2;Caracter 5 NO;;;;
tmTerminal;cTrCodMoneda3;Código de moneda en;;;;
tmTerminal;hopper3;Caracter 3 NO;;;;
tmTerminal;nTrNroMoneda3;Numero de monedas en;;;;
tmTerminal;hopper3;Caracter 5 NO;;;;
tmTerminal;cTrCodMoneda4;Código de moneda en;;;;
tmTerminal;hopper4;Caracter 3 NO;;;;
tmTerminal;nTrNroMoneda4;Numero de mon edas en;;;;
tmTerminal;hopper4;Caracter 5 NO;;;;
tmTerminal;cTrAplicacionDest;Aplicación a enviar tramas Caracter 10 NO;;;;
tmTerminal;cTrBatchNumber;Número de lote actual Caracter 8 NO;;;;
tmTerminal;nTrLongitudTrama;Tamaño máximo de trama, usado para almacenar el MEDIO de comunicación Caracter 15 NO;Caracter;15;NO;
tmTerminal;cTrModifyUser;Caracter 7 NO;;;;
tmTerminal;fTrModifyDate;Caracter 8 NO;;;;
tmTerminal;hTrModifyTime;Caracter 6 NO;;;;
tmTerminal;fTrLastEchoDate;Fecha de último eco enviado;;;;
tmTerminal;Caracter;8 NO Diccionario de Campos V3 .0 22;;0;;
tmTerminal;hTrLastEchoTime;Hora del último eco enviado;;;;
tmTerminal;Caracter;6 NO;;;;
tmTerminal;fTrLastTrxFinDate;Fecha de última transacción financiera;;;;
tmTerminal;Caracter;8 NO hTrLastTrxFinTim e Hora de última transacción financiera Caracter 6 NO fTrLastTrxAdmDa te Fecha de última transacción;Caracter;6;NO;
tmTerminal;adminictrativa;Caracter 8 NO hTrLastTrxAdmTi me Hora de última transacción;;;;
tmTerminal;administrativa;Caracter 6 NO;;;;
tmTerminal;cTrFilesVersion;Versión de archivos que almacena el POS BigInt 8 NO cTrDownloadStat e Estado de actualización de archivos Caracter 1 NO nTrDownloadAtte;Bigint;8;NO;
tmTerminal;mpts;Cantidad de intentos de actualización de archivos Caracter 3 NO fTrLastDownload;Caracter;3;NO;
tmTerminal;Date;Fecha de última actualización de archivos Caracter 8 NO hTrLastDownload;Caracter;8;NO;
tmTerminal;Time;Hora de última actualización de archivos Caracter 6 NO cTrTerminalStatu s Estado del terminal (habilitado/deshabilitado) Caracter 1 NO;Caracter;6;NO;
